hospital_name,department,address,city,state,phone,emergency_services,rating
"Apollo Hospital","Multi-Specialty","Jubilee Hills, Hyderabad","Hyderabad","Telangana","+91-40-23607777","Yes","4.5"
"AIIMS Delhi","Multi-Specialty","Ansari Nagar, New Delhi","New Delhi","Delhi","+91-11-26588500","Yes","4.7"
"Fortis Hospital","Multi-Specialty","Sector 62, Noida","Noida","Uttar Pradesh","+91-120-4882222","Yes","4.3"
"Max Super Specialty Hospital","Multi-Specialty","Saket, New Delhi","New Delhi","Delhi","+91-11-26515050","Yes","4.4"
"Manipal Hospital","Multi-Specialty","HAL Airport Road, Bangalore","Bangalore","Karnataka","+91-80-25024444","Yes","4.3"
"Narayana Health","Cardiology","Bommasandra, Bangalore","Bangalore","Karnataka","+91-80-27835000","Yes","4.6"
"Medanta - The Medicity","Multi-Specialty","Sector 38, Gurgaon","Gurgaon","Haryana","+91-124-4141414","Yes","4.5"
"Kokilaben Dhirubhai Ambani Hospital","Multi-Specialty","Andheri West, Mumbai","Mumbai","Maharashtra","+91-22-30999999","Yes","4.6"
"Lilavati Hospital","Multi-Specialty","Bandra West, Mumbai","Mumbai","Maharashtra","+91-22-26565000","Yes","4.4"
"Sir Ganga Ram Hospital","Multi-Specialty","Rajinder Nagar, New Delhi","New Delhi","Delhi","+91-11-25750000","Yes","4.5"
"Christian Medical College","Multi-Specialty","Vellore","Vellore","Tamil Nadu","+91-416-2281000","Yes","4.7"
"Sankara Nethralaya","Ophthalmology","Nungambakkam, Chennai","Chennai","Tamil Nadu","+91-44-28271616","Yes","4.6"
"Tata Memorial Hospital","Oncology","Parel, Mumbai","Mumbai","Maharashtra","+91-22-24177000","Yes","4.7"
"PGI Chandigarh","Multi-Specialty","Sector 12, Chandigarh","Chandigarh","Chandigarh","+91-172-2747585","Yes","4.6"
"Breach Candy Hospital","Multi-Specialty","Bhulabhai Desai Road, Mumbai","Mumbai","Maharashtra","+91-22-23667888","Yes","4.3"
"BLK Super Specialty Hospital","Multi-Specialty","Pusa Road, New Delhi","New Delhi","Delhi","+91-11-30403040","Yes","4.4"
"Jaslok Hospital","Multi-Specialty","Pedder Road, Mumbai","Mumbai","Maharashtra","+91-22-66573333","Yes","4.4"
"Artemis Hospital","Multi-Specialty","Sector 51, Gurgaon","Gurgaon","Haryana","+91-124-4511111","Yes","4.5"
"Cloudnine Hospital","Gynecology & Obstetrics","Jayanagar, Bangalore","Bangalore","Karnataka","+91-80-33023333","Yes","4.5"
"Yashodha Hospital","Multi-Specialty","Somajiguda, Hyderabad","Hyderabad","Telangana","+91-40-23551234","Yes","4.2"
"Continental Hospitals","Multi-Specialty","Gachibowli, Hyderabad","Hyderabad","Telangana","+91-40-67001111","Yes","4.4"
"Indraprastha Apollo Hospital","Multi-Specialty","Sarita Vihar, New Delhi","New Delhi","Delhi","+91-11-26925858","Yes","4.5"
"Global Hospital","Multi-Specialty","Lakdi Ka Pul, Hyderabad","Hyderabad","Telangana","+91-40-23607777","Yes","4.3"
"Rainbow Children's Hospital","Pediatrics","Marathahalli, Bangalore","Bangalore","Karnataka","+91-80-43424344","Yes","4.6"
"St. John's Medical College Hospital","Multi-Specialty","Koramangala, Bangalore","Bangalore","Karnataka","+91-80-22065000","Yes","4.5"
"KIMS Hospital","Multi-Specialty","Secunderabad, Hyderabad","Hyderabad","Telangana","+91-40-44885000","Yes","4.4"
"Care Hospital","Multi-Specialty","Banjara Hills, Hyderabad","Hyderabad","Telangana","+91-40-66564444","Yes","4.3"
"Columbia Asia Hospital","Multi-Specialty","Whitefield, Bangalore","Bangalore","Karnataka","+91-80-66756666","Yes","4.3"
"Ruby Hall Clinic","Multi-Specialty","Grant Road, Pune","Pune","Maharashtra","+91-20-26163600","Yes","4.4"
"Sahyadri Hospital","Multi-Specialty","Deccan Gymkhana, Pune","Pune","Maharashtra","+91-20-39393939","Yes","4.3"
"MGM Healthcare","Multi-Specialty","Nelson Manickam Road, Chennai","Chennai","Tamil Nadu","+91-44-71231123","Yes","4.5"
"Dr. Mohan's Diabetes Specialities Centre","Endocrinology","Gopalapuram, Chennai","Chennai","Tamil Nadu","+91-44-43968888","No","4.6"
"Sankara Eye Hospital","Ophthalmology","Pammal, Chennai","Chennai","Tamil Nadu","+91-44-22462929","No","4.5"
"BGS Gleneagles Global Hospital","Multi-Specialty","Kengeri, Bangalore","Bangalore","Karnataka","+91-80-67777777","Yes","4.4"
"Aster CMI Hospital","Multi-Specialty","Hebbal, Bangalore","Bangalore","Karnataka","+91-80-43420100","Yes","4.4"
"Wockhardt Hospital","Multi-Specialty","Mira Road, Mumbai","Mumbai","Maharashtra","+91-22-30889000","Yes","4.3"
"Hiranandani Hospital","Multi-Specialty","Powai, Mumbai","Mumbai","Maharashtra","+91-22-25763500","Yes","4.4"
"SRM Global Hospital","Multi-Specialty","Perungalathur, Chennai","Chennai","Tamil Nadu","+91-44-22222200","Yes","4.3"
"Kauvery Hospital","Multi-Specialty","Alwarpet, Chennai","Chennai","Tamil Nadu","+91-44-40004000","Yes","4.4"
"Citizens Hospital","Multi-Specialty","Nallagandla, Hyderabad","Hyderabad","Telangana","+91-40-68884000","Yes","4.3"
